Epoch,Loss,Value
0,recon_loss,7286.569
0,kl_loss,6.0753
0,kl_loss_0,0.155
0,kl_loss_1,1.6118
0,kl_loss_2,0.6938
0,kl_loss_3,0.4784
0,kl_loss_4,0.2277
0,kl_loss_5,0.1213
0,kl_loss_6,0.1616
0,kl_loss_7,0.3295
0,kl_loss_8,0.247
0,kl_loss_9,2.0494
0,loss,7310.3862
1,recon_loss,5909.5938
1,kl_loss,7.5142
1,kl_loss_0,0.0556
1,kl_loss_1,0.9177
1,kl_loss_2,0.2174
1,kl_loss_3,2.673
1,kl_loss_4,0.0696
1,kl_loss_5,0.0396
1,kl_loss_6,0.0359
1,kl_loss_7,0.1248
1,kl_loss_8,0.0702
1,kl_loss_9,3.3104
1,loss,5939.6505
2,recon_loss,5776.499
2,kl_loss,9.4801
2,kl_loss_0,0.3058
2,kl_loss_1,0.1838
2,kl_loss_2,0.4562
2,kl_loss_3,2.9571
2,kl_loss_4,0.4578
2,kl_loss_5,1.3852
2,kl_loss_6,0.0754
2,kl_loss_7,0.0864
2,kl_loss_8,0.0973
2,kl_loss_9,3.4752
2,loss,5814.4194
3,recon_loss,5641.1694
3,kl_loss,11.3187
3,kl_loss_0,0.094
3,kl_loss_1,0.0731
3,kl_loss_2,1.0421
3,kl_loss_3,2.9332
3,kl_loss_4,0.8246
3,kl_loss_5,2.6528
3,kl_loss_6,0.0468
3,kl_loss_7,0.0448
3,kl_loss_8,0.0505
3,kl_loss_9,3.5568
3,loss,5686.4442
4,recon_loss,5449.5994
4,kl_loss,12.4481
4,kl_loss_0,0.2624
4,kl_loss_1,0.0472
4,kl_loss_2,1.9357
4,kl_loss_3,2.8205
4,kl_loss_4,1.1303
4,kl_loss_5,2.6564
4,kl_loss_6,0.039
4,kl_loss_7,0.0568
4,kl_loss_8,0.0346
4,kl_loss_9,3.4654
4,loss,5499.3918
5,recon_loss,5352.1635
5,kl_loss,13.9619
5,kl_loss_0,0.4991
5,kl_loss_1,0.0638
5,kl_loss_2,2.2707
5,kl_loss_3,2.7617
5,kl_loss_4,2.1889
5,kl_loss_5,2.6886
5,kl_loss_6,0.0222
5,kl_loss_7,0.0382
5,kl_loss_8,0.0261
